"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Footprint","Description","LCSC Part #"
"J6","1","USB_A_Stacked","","","Connector_USB:USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked","USB Type A connector, stacked",""
"U2","1","USB2512B_M2","","","ASTRAfootprints:QFN37P50_600X600X100L62X24T370N","USB Hub Controller USB 2.0 USB Interface 36-SQFN (6x6)",""
"U4","1","SPX3819M5-L-3-3","","","Package_TO_SOT_SMD:SOT-23-5","500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5","C9055"
"D5","1","LED_YELLOW","","","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"D3","1","LED_WHITE","","","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"D1","1","LED_RED","","","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"D2","1","LED_GREEN","","","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"D4","1","LED_BLUE","","","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"U5","1","ESP32-WROOM-32UE","","","RF_Module:ESP32-WROOM-32UE","RF Module, ESP32-D0WD-V3 SoC, without PSRAM, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, external antenna, SMD",""
"Y1","1","Crystal","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Two pin crystal",""
"U3","1","CH340C","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","USB serial converter, crystal-less, UART, SOIC-16",""
"R1,R2,R3,R4,R5","5","100R","","","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R9,R11,R12,R13,R14,R15","6","47kR","","","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R6,R10","2","10kR","","","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R7,R8","2","4.7kR","","","Resistor_SMD:R_0402_1005Metric","Resistor",""
"C15,C25","2","10uF","","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C14","1","100nF","","Excluded from board","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C16,C17,C19,C21,C22","17","100nF","","","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C18,C20","2","10nF","","","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C23,C24","2","18pF","","","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
